date,temp,humidity,wind,radiation,rainfall,ET0
1/1/2025,20.58,41.38,1.13,18.7,0.0,4.9832990761423455
1/2/2025,19.5,41.96,0.99,20.56,0.0,5.1097038061341395
1/3/2025,20.15,40.07,0.85,21.55,0.0,5.312677845545381
1/4/2025,21.44,38.03,0.92,21.05,0.0,5.449478014817326
1/5/2025,19.74,35.61,1.25,20.84,0.0,5.521009310533999
1/6/2025,19.73,36.88,1.18,19.34,0.0,5.152816581794662
1/7/2025,20.46,38.03,1.2,18.84,0.0,5.130250842904644
1/8/2025,19.98,36.51,1.36,20.48,0.0,5.543214431476196
1/9/2025,18.83,36.67,1.42,21.61,0.0,5.635262468740093
1/10/2025,18.26,38.43,1.37,21.48,0.0,5.454811440487454
1/11/2025,17.51,37.42,1.41,20.98,0.0,5.315091656444925
1/12/2025,17.17,39.14,1.2,20.56,0.0,5.0251640715834025
1/13/2025,18.81,38.34,1.0,21.4,0.0,5.268219294521776
1/14/2025,20.77,37.52,0.87,21.17,0.0,5.368204317773956
1/15/2025,21.75,39.14,0.89,21.38,0.0,5.5039336898098155
1/16/2025,22.5,34.53,0.99,21.78,0.0,5.849806661267165
1/17/2025,22.73,32.3,1.12,21.94,0.0,6.080878192260602
1/18/2025,23.23,33.26,1.16,21.36,0.0,6.037521570322858
1/19/2025,24.36,35.41,0.97,20.97,0.0,5.850371580619071
1/20/2025,24.6,35.65,0.73,20.85,0.0,5.602734377976771
1/21/2025,24.15,37.59,1.18,22.26,0.0,6.237680405558738
1/22/2025,22.78,33.17,1.5,22.89,0.0,6.590992558626746
1/23/2025,21.73,33.64,1.25,20.41,0.0,5.738071731357634
1/24/2025,22.33,32.6,1.37,20.27,0.0,5.921027200492815
1/25/2025,21.28,27.93,1.34,23.16,0.0,6.446104290561849
1/26/2025,20.42,28.68,1.22,23.58,0.0,6.279643333581173
1/27/2025,20.4,27.91,1.39,23.14,0.0,6.359657241192847
1/28/2025,20.17,28.71,1.55,22.14,0.0,6.250517576974513
1/29/2025,19.78,27.69,1.42,22.66,0.0,6.210564968843759
1/30/2025,19.66,30.11,1.44,19.7,0.0,5.596264055433336
1/31/2025,21.04,29.2,1.24,22.96,0.0,6.250823626766707
2/1/2025,21.41,29.99,0.98,20.36,0.0,5.525747512426737
2/2/2025,21.53,29.68,0.97,21.69,0.0,5.802160897787609
2/3/2025,22.0,29.22,1.12,22.78,0.0,6.232246814244812
2/4/2025,22.1,26.15,1.26,24.5,0.0,6.798148681814343
2/5/2025,20.72,24.75,1.19,23.7,0.0,6.414748661704246
2/6/2025,21.47,24.91,1.19,19.11,0.0,5.617026153743004
2/7/2025,22.24,28.36,1.08,17.72,0.0,5.22828934069756
2/8/2025,23.94,28.52,1.21,20.48,0.0,6.117168447187228
2/9/2025,23.88,28.8,1.26,22.69,0.0,6.606187055629339
2/10/2025,24.4,27.23,1.32,23.16,0.0,6.877958978995323
2/11/2025,23.53,24.93,1.53,22.79,0.0,6.972053990299708
2/12/2025,22.21,26.44,1.62,22.08,0.0,6.677632729451238
2/13/2025,20.5,26.27,1.37,21.94,0.0,6.1757474831527395
2/14/2025,20.62,25.9,1.22,22.96,0.0,6.258123541425856
2/15/2025,22.52,21.05,1.28,23.86,0.0,6.889981532183217
2/16/2025,22.85,20.6,1.24,24.6,0.0,7.053511938014109
2/17/2025,23.38,21.97,1.21,24.1,0.0,6.957886469338986
2/18/2025,23.8,22.28,1.11,23.95,0.0,6.862724727200756
2/19/2025,24.89,20.83,0.98,24.13,0.0,6.917872825205667
2/20/2025,25.83,22.95,0.93,24.57,0.0,7.0165995607677525
2/21/2025,27.14,25.6,0.65,23.7,0.0,6.553662686267085
2/22/2025,28.38,24.81,0.95,22.52,0.0,6.834853871902477
2/23/2025,26.29,26.86,0.74,18.28,0.0,5.36072559819631
2/24/2025,25.78,26.49,0.91,17.87,0.0,5.456610296328627
2/25/2025,26.18,28.95,0.96,18.79,0.0,5.703475737794166
